sk_ramo_atividade,etl_versao,etl_dt_inicio,etl_dt_fim,nk_ramo_atividade,de_ramo_atividade,de_ramo_atividade_cnae,de_divisoes_cnae,cd_cnae
651,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6391700                                                        ,"AGENCIAMENTO DE ESPACOS PARA PUBLICIDADE, EXCETO EM VEICULOS DE COMUNICACAO                                                                                                                                                                               ",NA                                                                                                                                                                                                                                                        ,ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO                                                                                                                                                                                                         ,63
652,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6399200                                                        ,"AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS                                                                                                                                                                          ",NA                                                                                                                                                                                                                                                        ,ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO                                                                                                                                                                                                         ,63
653,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6421200                                                        ,BANCOS COMERCIAIS                                                                                                                                                                                                                                         ,BENS DE CAPITAL                                                                                                                                                                                                                                           ,ATIVIDADES DE SERVICOS FINANCEIROS                                                                                                                                                                                                                        ,64
654,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6422100                                                        ,"BANCOS MULTIPLOS, COM CARTEIRA COMERCIAL                                                                                                                                                                                                                  ",BENS DE CAPITAL                                                                                                                                                                                                                                           ,ATIVIDADES DE SERVICOS FINANCEIROS                                                                                                                                                                                                                        ,64
655,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6423900                                                        ,CAIXAS ECONOMICAS                                                                                                                                                                                                                                         ,BENS DE CAPITAL                                                                                                                                                                                                                                           ,ATIVIDADES DE SERVICOS FINANCEIROS                                                                                                                                                                                                                        ,64
656,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6424703                                                        ,COOPERATIVAS DE CREDITO MUTUO                                                                                                                                                                                                                             ,BENS DE CAPITAL                                                                                                                                                                                                                                           ,ATIVIDADES DE SERVICOS FINANCEIROS                                                                                                                                                                                                                        ,64
657,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6436100                                                        ,"SOCIEDADES DE CREDITO, FINANCIAMENTO E INVESTIMENTO  FINANCEIRAS                                                                                                                                                                                          ",BENS DE CAPITAL                                                                                                                                                                                                                                           ,ATIVIDADES DE SERVICOS FINANCEIROS                                                                                                                                                                                                                        ,64
658,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6462000                                                        ,HOLDINGS DE INSTITUICOES NAOFINANCEIRAS                                                                                                                                                                                                                   ,BENS DE CAPITAL                                                                                                                                                                                                                                           ,ATIVIDADES DE SERVICOS FINANCEIROS                                                                                                                                                                                                                        ,64
659,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6463800                                                        ,EDUCACAO SUPERIOR  POSGRADUACAO E EXTENSAO                                                                                                                                                                                                                ,BENS DE CAPITAL                                                                                                                                                                                                                                           ,ATIVIDADES DE SERVICOS FINANCEIROS                                                                                                                                                                                                                        ,64
660,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6470101                                                        ,"FUNDOS DE INVESTIMENTO, EXCETO PREVIDENCIARIOS E IMOBILIARIOS                                                                                                                                                                                             ",BENS DE CAPITAL                                                                                                                                                                                                                                           ,ATIVIDADES DE SERVICOS FINANCEIROS                                                                                                                                                                                                                        ,64
661,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6491300                                                        ,SOCIEDADES DE FOMENTO MERCANTIL  FACTORING                                                                                                                                                                                                                ,BENS DE CAPITAL                                                                                                                                                                                                                                           ,ATIVIDADES DE SERVICOS FINANCEIROS                                                                                                                                                                                                                        ,64
662,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6492100                                                        ,SECURITIZACAO DE CREDITOS                                                                                                                                                                                                                                 ,BENS DE CAPITAL                                                                                                                                                                                                                                           ,ATIVIDADES DE SERVICOS FINANCEIROS                                                                                                                                                                                                                        ,64
663,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6499901                                                        ,CLUBES DE INVESTIMENTO                                                                                                                                                                                                                                    ,BENS DE CAPITAL                                                                                                                                                                                                                                           ,ATIVIDADES DE SERVICOS FINANCEIROS                                                                                                                                                                                                                        ,64
664,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6499999                                                        ,OUTRAS ATIVIDADES DE SERVICOS FINANCEIROS NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                                 ,BENS DE CAPITAL                                                                                                                                                                                                                                           ,ATIVIDADES DE SERVICOS FINANCEIROS                                                                                                                                                                                                                        ,64
665,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6511101                                                        ,SOCIEDADE SEGURADORA DE SEGUROS VIDA                                                                                                                                                                                                                      ,NA                                                                                                                                                                                                                                                        ,"SEGUROS, RESSEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                                                           ",65
666,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6511102                                                        ,PLANOS DE AUXILIOFUNERAL                                                                                                                                                                                                                                  ,NA                                                                                                                                                                                                                                                        ,"SEGUROS, RESSEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                                                           ",65
667,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6512000                                                        ,SOCIEDADE SEGURADORA DE SEGUROS NAO VIDA                                                                                                                                                                                                                  ,NA                                                                                                                                                                                                                                                        ,"SEGUROS, RESSEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                                                           ",65
668,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6550200                                                        ,PLANOS DE SAUDE                                                                                                                                                                                                                                           ,NA                                                                                                                                                                                                                                                        ,"SEGUROS, RESSEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                                                           ",65
669,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6612601                                                        ,HOLDINGS DE INSTITUICOES NAOFINANCEIRAS                                                                                                                                                                                                                   ,NA                                                                                                                                                                                                                                                        ,"ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS, SEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                       ",66
670,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6612605                                                        ,AGENTES DE INVESTIMENTOS EM APLICACOES FINANCEIRAS                                                                                                                                                                                                        ,NA                                                                                                                                                                                                                                                        ,"ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS, SEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                       ",66
671,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6613400                                                        ,ADMINISTRACAO DE CARTOES DE CREDITO                                                                                                                                                                                                                       ,NA                                                                                                                                                                                                                                                        ,"ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS, SEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                       ",66
672,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6619302                                                        ,ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS                                                                                                                                                                                                          ,NA                                                                                                                                                                                                                                                        ,"ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS, SEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                       ",66
673,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6619305                                                        ,OPERADORAS DE CARTOES DE DEBITO                                                                                                                                                                                                                           ,NA                                                                                                                                                                                                                                                        ,"ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS, SEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                       ",66
674,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6619399                                                        ,OUTRAS ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                     ,NA                                                                                                                                                                                                                                                        ,"ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS, SEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                       ",66
675,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6622300                                                        ,"CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE                                                                                                                                                                         ",NA                                                                                                                                                                                                                                                        ,"ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS, SEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                       ",66
676,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6629100                                                        ,"ATIVIDADES AUXILIARES DOS SEGUROS, DA PREVIDENCIA COMPLEMENTAR E DOS PLANOS DE SAUDE NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                      ",NA                                                                                                                                                                                                                                                        ,"ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS, SEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                       ",66
677,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6630400                                                        ,ATIVIDADES DE ADMINISTRACAO DE FUNDOS POR CONTRATO OU COMISSAO                                                                                                                                                                                            ,NA                                                                                                                                                                                                                                                        ,"ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS, SEGUROS, PREVIDENCIA COMPLEMENTAR E PLANOS DE SAUDE                                                                                                                                                       ",66
678,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6810201                                                        ,ALUGUEL DE IMOVEIS PROPRIOS                                                                                                                                                                                                                               ,SERVICOS ADMINISTRATIVOS                                                                                                                                                                                                                                  ,ATIVIDADES IMOBILIARIAS                                                                                                                                                                                                                                   ,68
679,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6810202                                                        ,COMPRA E VENDA DE IMOVEIS PROPRIOS                                                                                                                                                                                                                        ,SERVICOS ADMINISTRATIVOS                                                                                                                                                                                                                                  ,ATIVIDADES IMOBILIARIAS                                                                                                                                                                                                                                   ,68
680,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6810203                                                        ,INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS                                                                                                                                                                                                              ,SERVICOS ADMINISTRATIVOS                                                                                                                                                                                                                                  ,ATIVIDADES IMOBILIARIAS                                                                                                                                                                                                                                   ,68
681,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6821801                                                        ,LOTEAMENTO DE IMOVEIS PROPRIOS                                                                                                                                                                                                                            ,SERVICOS ADMINISTRATIVOS                                                                                                                                                                                                                                  ,ATIVIDADES IMOBILIARIAS                                                                                                                                                                                                                                   ,68
682,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6821802                                                        ,CORRETAGEM NO ALUGUEL DE IMOVEIS                                                                                                                                                                                                                          ,SERVICOS ADMINISTRATIVOS                                                                                                                                                                                                                                  ,ATIVIDADES IMOBILIARIAS                                                                                                                                                                                                                                   ,68
683,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6822600                                                        ,GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA                                                                                                                                                                                                         ,SERVICOS ADMINISTRATIVOS                                                                                                                                                                                                                                  ,ATIVIDADES IMOBILIARIAS                                                                                                                                                                                                                                   ,68
684,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6911701                                                        ,SERVICOS ADVOCATICIOS                                                                                                                                                                                                                                     ,SERVICOS PROFISSIONAIS E TECNICOS                                                                                                                                                                                                                         ,"ATIVIDADES JURIDICAS, DE CONTABILIDADE E DE AUDITORIA                                                                                                                                                                                                     ",69
685,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6911702                                                        ,ATIVIDADES AUXILIARES DA JUSTICA                                                                                                                                                                                                                          ,SERVICOS PROFISSIONAIS E TECNICOS                                                                                                                                                                                                                         ,"ATIVIDADES JURIDICAS, DE CONTABILIDADE E DE AUDITORIA                                                                                                                                                                                                     ",69
686,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6911703                                                        ,AGENTE DE PROPRIEDADE INDUSTRIAL                                                                                                                                                                                                                          ,SERVICOS PROFISSIONAIS E TECNICOS                                                                                                                                                                                                                         ,"ATIVIDADES JURIDICAS, DE CONTABILIDADE E DE AUDITORIA                                                                                                                                                                                                     ",69
687,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6912500                                                        ,CARTORIOS                                                                                                                                                                                                                                                 ,SERVICOS PROFISSIONAIS E TECNICOS                                                                                                                                                                                                                         ,"ATIVIDADES JURIDICAS, DE CONTABILIDADE E DE AUDITORIA                                                                                                                                                                                                     ",69
688,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6920601                                                        ,ATIVIDADES DE CONTABILIDADE                                                                                                                                                                                                                               ,SERVICOS PROFISSIONAIS E TECNICOS                                                                                                                                                                                                                         ,"ATIVIDADES JURIDICAS, DE CONTABILIDADE E DE AUDITORIA                                                                                                                                                                                                     ",69
689,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,6920602                                                        ,ATIVIDADES DE CONTABILIDADE                                                                                                                                                                                                                               ,SERVICOS PROFISSIONAIS E TECNICOS                                                                                                                                                                                                                         ,"ATIVIDADES JURIDICAS, DE CONTABILIDADE E DE AUDITORIA                                                                                                                                                                                                     ",69
690,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7020400                                                        ,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE                                                                                                                                                                                     ,NA                                                                                                                                                                                                                                                        ,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTAO EMPRESARIAL                                                                                                                                                                                    ,70
691,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7111100                                                        ,SERVICOS DE ARQUITETURA                                                                                                                                                                                                                                   ,NA                                                                                                                                                                                                                                                        ,SERVICOS DE ARQUITETURA E ENGENHARIA; TESTES E ANALISES TECNICAS                                                                                                                                                                                          ,71
692,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7112000                                                        ,SERVICOS DE ENGENHARIA                                                                                                                                                                                                                                    ,NA                                                                                                                                                                                                                                                        ,SERVICOS DE ARQUITETURA E ENGENHARIA; TESTES E ANALISES TECNICAS                                                                                                                                                                                          ,71
693,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7119701                                                        ,"SERVICOS DE CARTOGRAFIA, TOPOGRAFIA E GEODESIA                                                                                                                                                                                                            ",NA                                                                                                                                                                                                                                                        ,SERVICOS DE ARQUITETURA E ENGENHARIA; TESTES E ANALISES TECNICAS                                                                                                                                                                                          ,71
694,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7119702                                                        ,ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                               ,NA                                                                                                                                                                                                                                                        ,SERVICOS DE ARQUITETURA E ENGENHARIA; TESTES E ANALISES TECNICAS                                                                                                                                                                                          ,71
695,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7119703                                                        ,SERVICOS DE DESENHO TECNICO RELACIONADOS A ARQUITETURA E ENGENHARIA                                                                                                                                                                                       ,NA                                                                                                                                                                                                                                                        ,SERVICOS DE ARQUITETURA E ENGENHARIA; TESTES E ANALISES TECNICAS                                                                                                                                                                                          ,71
696,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7119704                                                        ,ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                               ,NA                                                                                                                                                                                                                                                        ,SERVICOS DE ARQUITETURA E ENGENHARIA; TESTES E ANALISES TECNICAS                                                                                                                                                                                          ,71
697,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7119799                                                        ,SERVICOS DE PERICIA TECNICA RELACIONADOS A SEGURANCA DO TRABALHO                                                                                                                                                                                          ,NA                                                                                                                                                                                                                                                        ,SERVICOS DE ARQUITETURA E ENGENHARIA; TESTES E ANALISES TECNICAS                                                                                                                                                                                          ,71
698,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7120100                                                        ,FABRICACAO DE EMBALAGENS DE MATERIAL PLASTICO                                                                                                                                                                                                             ,NA                                                                                                                                                                                                                                                        ,SERVICOS DE ARQUITETURA E ENGENHARIA; TESTES E ANALISES TECNICAS                                                                                                                                                                                          ,71
700,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7220700                                                        ,"ATIVIDADES DE APOIO A EDUCACAO, EXCETO CAIXAS ESCOLARES                                                                                                                                                                                                   ",NA                                                                                                                                                                                                                                                        ,PESQUISA E DESENVOLVIMENTO CIENTIFICO                                                                                                                                                                                                                     ,72
701,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7311400                                                        ,AGENCIAS DE PUBLICIDADE                                                                                                                                                                                                                                   ,NA                                                                                                                                                                                                                                                        ,PUBLICIDADE E PESQUISA DE MERCADO                                                                                                                                                                                                                         ,73
702,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7312200                                                        ,AGENCIAS DE PUBLICIDADE                                                                                                                                                                                                                                   ,NA                                                                                                                                                                                                                                                        ,PUBLICIDADE E PESQUISA DE MERCADO                                                                                                                                                                                                                         ,73
703,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,7319001                                                        ,CONSULTORIA EM PUBLICIDADE                                                                                                                                                                                                                                ,NA                                                                                                                                                                                                                                                        ,PUBLICIDADE E PESQUISA DE MERCADO                                                                                                                                                                                                                         ,73
